"","dbp:column Test_cricket", "0.00475059382422803", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00475059382422803 condAB=0.666666666666667 condBA=0.00478468899521531 supA=9.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1930' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00172248803827751", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00172248803827751 condAB=1.0 condBA=0.00172546012269939 supA=9.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1930' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1932' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00552922590837283", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00552922590837283 condAB=0.583333333333333 condBA=0.00558213716108453 supA=12.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1933' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00229533282325937", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00229533282325937 condAB=1.0 condBA=0.00230061349693252 supA=12.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1933' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57487552661815E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57487552661815E-4 condAB=0.833333333333333 condBA=9.58588957055215E-4 supA=6.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1934' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00153139356814701", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00153139356814701 condAB=1.0 condBA=0.00153374233128834 supA=8.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1935' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00191350937619594", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00191350937619594 condAB=1.0 condBA=0.00191717791411043 supA=10.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1936' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1939' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00474308300395257", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00474308300395257 condAB=0.545454545454545 condBA=0.00478468899521531 supA=11.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1947' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1947 and' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00394944707740916", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00394944707740916 condAB=0.416666666666667 condBA=0.00398724082934609 supA=12.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1948' in l_e(c,p,os) ", 
